iter	Passed	Remaining
930	5135	380
931	5140	375
932	5145	369
933	5151	364
934	5156	358
935	5161	352
936	5166	347
937	5171	341
938	5176	336
939	5181	330
940	5187	325
941	5192	319
942	5197	314
943	5202	308
944	5207	303
945	5212	297
946	5217	291
947	5222	286
948	5227	280
949	5232	275
950	5237	269
951	5242	264
952	5247	258
953	5252	253
954	5257	247
955	5262	242
956	5268	236
957	5273	231
958	5278	225
959	5283	220
960	5288	214
961	5293	209
962	5298	203
963	5304	198
964	5309	192
965	5314	187
966	5319	181
967	5324	176
968	5329	170
969	5334	164
970	5339	159
971	5344	153
972	5349	148
973	5354	142
974	5359	137
975	5364	131
976	5369	126
977	5374	120
978	5379	115
979	5384	109
980	5390	104
981	5395	98
982	5400	93
983	5405	87
984	5410	82
985	5415	76
986	5420	71
987	5425	65
988	5430	60
989	5436	54
990	5440	49
991	5445	43
992	5450	38
993	5455	32
994	5461	27
995	5466	21
996	5471	16
997	5476	10
998	5481	5
999	5486	0
